名称,機種,燃料種類,熱源種類,冷房／暖房,特性種類,下限,上限,特性ID,基整促係数,冷却水温度下限,冷却水温度上限
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Steam,吸収式冷凍機(蒸気),蒸気,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Steam,吸収式冷凍機(蒸気),蒸気,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Steam,吸収式冷凍機(蒸気),蒸気,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Steam,吸収式冷凍機(蒸気),蒸気,水,Cooling,送水温度特性,7,12,Cw_WS_B,1,,
AbcorptionChiller_Steam_CTVWV,吸収式冷凍機(冷却水変流量、蒸気),蒸気,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Steam_CTVWV,吸収式冷凍機(冷却水変流量、蒸気),蒸気,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Steam_CTVWV,吸収式冷凍機(冷却水変流量、蒸気),蒸気,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Steam_CTVWV,吸収式冷凍機(冷却水変流量、蒸気),蒸気,水,Cooling,送水温度特性,7,12,Cw_WS_B,1,,
AbcorptionChiller_HotWater,吸収式冷凍機(温水),温水,水,Cooling,能力比,24,31,Cq_WS_B,0.95,,
AbcorptionChiller_HotWater,吸収式冷凍機(温水),温水,水,Cooling,入力比,24,31,Cp_WS_E,1.2,,
AbcorptionChiller_HotWater,吸収式冷凍機(温水),温水,水,Cooling,部分負荷特性,0.25,1,Cx_WS_A,1,,
AbcorptionChiller_HotWater,吸収式冷凍機(温水),温水,水,Cooling,送水温度特性,7,13,Cw_WS_B,1,,
AbcorptionChiller_Combination_CityGas,吸収式冷凍機(一重二重併用形、都市ガス),ガス,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Combination_CityGas,吸収式冷凍機(一重二重併用形、都市ガス),ガス,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Combination_CityGas,吸収式冷凍機(一重二重併用形、都市ガス),ガス,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Combination_CityGas,吸収式冷凍機(一重二重併用形、都市ガス),ガス,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_Combination_CityGas,吸収式冷凍機(一重二重併用形、都市ガス),ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_Combination_CityGas,吸収式冷凍機(一重二重併用形、都市ガス),ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_Combination_CityGas,吸収式冷凍機(一重二重併用形、都市ガス),ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_Combination_CityGas,吸収式冷凍機(一重二重併用形、都市ガス),ガス,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Combination_CityGas_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、都市ガス),ガス,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Combination_CityGas_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、都市ガス),ガス,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Combination_CityGas_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、都市ガス),ガス,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Combination_CityGas_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、都市ガス),ガス,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_Combination_CityGas_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、都市ガス),ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_Combination_CityGas_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、都市ガス),ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_Combination_CityGas_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、都市ガス),ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_Combination_CityGas_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、都市ガス),ガス,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Combination_LPG,吸収式冷凍機(一重二重併用形、LPG),液化石油ガス,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Combination_LPG,吸収式冷凍機(一重二重併用形、LPG),液化石油ガス,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Combination_LPG,吸収式冷凍機(一重二重併用形、LPG),液化石油ガス,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Combination_LPG,吸収式冷凍機(一重二重併用形、LPG),液化石油ガス,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_Combination_LPG,吸収式冷凍機(一重二重併用形、LPG),液化石油ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_Combination_LPG,吸収式冷凍機(一重二重併用形、LPG),液化石油ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_Combination_LPG,吸収式冷凍機(一重二重併用形、LPG),液化石油ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_Combination_LPG,吸収式冷凍機(一重二重併用形、LPG),液化石油ガス,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Combination_LPG_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、LPG),液化石油ガス,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Combination_LPG_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、LPG),液化石油ガス,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Combination_LPG_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、LPG),液化石油ガス,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Combination_LPG_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、LPG),液化石油ガス,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_Combination_LPG_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、LPG),液化石油ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_Combination_LPG_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、LPG),液化石油ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_Combination_LPG_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、LPG),液化石油ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_Combination_LPG_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、LPG),液化石油ガス,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Combination_Steam,吸収式冷凍機(一重二重併用形、蒸気),蒸気,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Combination_Steam,吸収式冷凍機(一重二重併用形、蒸気),蒸気,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Combination_Steam,吸収式冷凍機(一重二重併用形、蒸気),蒸気,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Combination_Steam,吸収式冷凍機(一重二重併用形、蒸気),蒸気,水,Cooling,送水温度特性,7,12,Cw_WS_B,1,,
AbcorptionChiller_Combination_Steam_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、蒸気),蒸気,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Combination_Steam_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、蒸気),蒸気,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Combination_Steam_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、蒸気),蒸気,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Combination_Steam_CTVWV,吸収式冷凍機(一重二重併用形、冷却水変流量、蒸気),蒸気,水,Cooling,送水温度特性,7,12,Cw_WS_B,1,,
OnePassBoiler_CityGas,小型貫流ボイラ(都市ガス),ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
OnePassBoiler_CityGas,小型貫流ボイラ(都市ガス),ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
OnePassBoiler_CityGas,小型貫流ボイラ(都市ガス),ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
OnePassBoiler_CityGas,小型貫流ボイラ(都市ガス),ガス,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
OnePassBoiler_LPG,小型貫流ボイラ(LPG),液化石油ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
OnePassBoiler_LPG,小型貫流ボイラ(LPG),液化石油ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
OnePassBoiler_LPG,小型貫流ボイラ(LPG),液化石油ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
OnePassBoiler_LPG,小型貫流ボイラ(LPG),液化石油ガス,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
OnePassBoiler_Oil,小型貫流ボイラ(重油),重油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
OnePassBoiler_Oil,小型貫流ボイラ(重油),重油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
OnePassBoiler_Oil,小型貫流ボイラ(重油),重油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
OnePassBoiler_Oil,小型貫流ボイラ(重油),重油,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
OnePassBoiler_Kerosene,小型貫流ボイラ(灯油),灯油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
OnePassBoiler_Kerosene,小型貫流ボイラ(灯油),灯油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
OnePassBoiler_Kerosene,小型貫流ボイラ(灯油),灯油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
OnePassBoiler_Kerosene,小型貫流ボイラ(灯油),灯油,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
OnePassBoiler_L_CityGas,貫流ボイラ(都市ガス),ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
OnePassBoiler_L_CityGas,貫流ボイラ(都市ガス),ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
OnePassBoiler_L_CityGas,貫流ボイラ(都市ガス),ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
OnePassBoiler_L_CityGas,貫流ボイラ(都市ガス),ガス,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
OnePassBoiler_L_LPG,貫流ボイラ(LPG),液化石油ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
OnePassBoiler_L_LPG,貫流ボイラ(LPG),液化石油ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
OnePassBoiler_L_LPG,貫流ボイラ(LPG),液化石油ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
OnePassBoiler_L_LPG,貫流ボイラ(LPG),液化石油ガス,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
OnePassBoiler_L_Oil,貫流ボイラ(重油),重油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
OnePassBoiler_L_Oil,貫流ボイラ(重油),重油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
OnePassBoiler_L_Oil,貫流ボイラ(重油),重油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
OnePassBoiler_L_Oil,貫流ボイラ(重油),重油,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
OnePassBoiler_L_Kerosene,貫流ボイラ(灯油),灯油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
OnePassBoiler_L_Kerosene,貫流ボイラ(灯油),灯油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
OnePassBoiler_L_Kerosene,貫流ボイラ(灯油),灯油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
OnePassBoiler_L_Kerosene,貫流ボイラ(灯油),灯油,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
HotwaterBoiler_CityGas,温水ボイラ(都市ガス),ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
HotwaterBoiler_CityGas,温水ボイラ(都市ガス),ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
HotwaterBoiler_CityGas,温水ボイラ(都市ガス),ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
HotwaterBoiler_CityGas,温水ボイラ(都市ガス),ガス,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
HotwaterBoiler_LPG,温水ボイラ(LPG),液化石油ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
HotwaterBoiler_LPG,温水ボイラ(LPG),液化石油ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
HotwaterBoiler_LPG,温水ボイラ(LPG),液化石油ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
HotwaterBoiler_LPG,温水ボイラ(LPG),液化石油ガス,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
HotwaterBoiler_Oil,温水ボイラ(重油),重油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
HotwaterBoiler_Oil,温水ボイラ(重油),重油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
HotwaterBoiler_Oil,温水ボイラ(重油),重油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
HotwaterBoiler_Oil,温水ボイラ(重油),重油,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
HotwaterBoiler_Kerosene,温水ボイラ(灯油),灯油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
HotwaterBoiler_Kerosene,温水ボイラ(灯油),灯油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
HotwaterBoiler_Kerosene,温水ボイラ(灯油),灯油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
HotwaterBoiler_Kerosene,温水ボイラ(灯油),灯油,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
SteamBoiler_CityGas,蒸気ボイラ(都市ガス),ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
SteamBoiler_CityGas,蒸気ボイラ(都市ガス),ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
SteamBoiler_CityGas,蒸気ボイラ(都市ガス),ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
SteamBoiler_CityGas,蒸気ボイラ(都市ガス),ガス,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
SteamBoiler_LPG,蒸気ボイラ(LPG),液化石油ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
SteamBoiler_LPG,蒸気ボイラ(LPG),液化石油ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
SteamBoiler_LPG,蒸気ボイラ(LPG),液化石油ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
SteamBoiler_LPG,蒸気ボイラ(LPG),液化石油ガス,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
SteamBoiler_Oil,蒸気ボイラ(重油),重油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
SteamBoiler_Oil,蒸気ボイラ(重油),重油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
SteamBoiler_Oil,蒸気ボイラ(重油),重油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
SteamBoiler_Oil,蒸気ボイラ(重油),重油,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
SteamBoiler_Kerosene,蒸気ボイラ(灯油),灯油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
SteamBoiler_Kerosene,蒸気ボイラ(灯油),灯油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
SteamBoiler_Kerosene,蒸気ボイラ(灯油),灯油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
SteamBoiler_Kerosene,蒸気ボイラ(灯油),灯油,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
HotWaterGenerator_CityGas,温水発生機(都市ガス),ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
HotWaterGenerator_CityGas,温水発生機(都市ガス),ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
HotWaterGenerator_CityGas,温水発生機(都市ガス),ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
HotWaterGenerator_CityGas,温水発生機(都市ガス),ガス,不要,Heating,送水温度特性,-1,1,Hw_boilerA,1,,
HotWaterGenerator_LPG,温水発生機(LPG),液化石油ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
