記号,説明,木製・樹脂製,,,,金属木複合製・金属樹脂複合製,,,,金属製,,,,ガラス単体,,,
3LgA16,三層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層16mm）,1.82 ,1.70 ,0.42 ,0.32 ,2.11 ,1.95 ,0.47 ,0.35 ,2.48 ,2.26 ,0.47 ,0.35 ,1.20 ,1.20 ,0.59 ,0.44 
3LsA06,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層6mm）,2.35 ,2.18 ,0.27 ,0.21 ,2.75 ,2.52 ,0.30 ,0.23 ,3.13 ,2.84 ,0.30 ,0.23 ,2.00 ,1.80 ,0.37 ,0.29 
3LsA07,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層7mm）,2.22 ,2.06 ,0.27 ,0.21 ,2.59 ,2.38 ,0.30 ,0.23 ,2.97 ,2.70 ,0.30 ,0.23 ,1.80 ,1.70 ,0.37 ,0.29 
3LsA08,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層8mm）,2.15 ,2.00 ,0.27 ,0.21 ,2.51 ,2.31 ,0.30 ,0.23 ,2.89 ,2.63 ,0.30 ,0.23 ,1.70 ,1.60 ,0.37 ,0.29 
3LsA09,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層9mm）,2.09 ,1.94 ,0.27 ,0.21 ,2.43 ,2.24 ,0.30 ,0.23 ,2.81 ,2.55 ,0.30 ,0.23 ,1.60 ,1.50 ,0.37 ,0.29 
3LsA10,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層10mm）,2.02 ,1.88 ,0.27 ,0.21 ,2.35 ,2.16 ,0.30 ,0.23 ,2.72 ,2.48 ,0.30 ,0.23 ,1.50 ,1.50 ,0.37 ,0.29 
3LsA11,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層11mm）,2.02 ,1.88 ,0.27 ,0.21 ,2.35 ,2.16 ,0.30 ,0.23 ,2.72 ,2.48 ,0.30 ,0.23 ,1.50 ,1.40 ,0.37 ,0.29 
3LsA12,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層12mm）,1.95 ,1.82 ,0.27 ,0.21 ,2.27 ,2.09 ,0.30 ,0.23 ,2.64 ,2.41 ,0.30 ,0.23 ,1.40 ,1.30 ,0.37 ,0.29 
3LsA13,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層13mm）,1.89 ,1.76 ,0.27 ,0.21 ,2.19 ,2.02 ,0.30 ,0.23 ,2.56 ,2.33 ,0.30 ,0.23 ,1.30 ,1.30 ,0.37 ,0.29 
3LsA14,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層14mm）,1.89 ,1.76 ,0.27 ,0.21 ,2.19 ,2.02 ,0.30 ,0.23 ,2.56 ,2.33 ,0.30 ,0.23 ,1.30 ,1.20 ,0.37 ,0.29 
3LsA15,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層15mm）,1.89 ,1.76 ,0.27 ,0.21 ,2.19 ,2.02 ,0.30 ,0.23 ,2.56 ,2.33 ,0.30 ,0.23 ,1.30 ,1.20 ,0.37 ,0.29 
3LsA16,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層16mm）,1.82 ,1.70 ,0.27 ,0.21 ,2.11 ,1.95 ,0.30 ,0.23 ,2.48 ,2.26 ,0.30 ,0.23 ,1.20 ,1.20 ,0.37 ,0.29 
3FA06,三層ガラス（Low-E　なし、空気層6mm）,2.55 ,2.36 ,0.52 ,0.38 ,2.99 ,2.73 ,0.58 ,0.42 ,3.37 ,3.05 ,0.58 ,0.42 ,2.30 ,2.20 ,0.72 ,0.53 
3FA07,三層ガラス（Low-E　なし、空気層7mm）,2.48 ,2.30 ,0.52 ,0.38 ,2.91 ,2.66 ,0.58 ,0.42 ,3.29 ,2.98 ,0.58 ,0.42 ,2.20 ,2.10 ,0.72 ,0.53 
3FA08,三層ガラス（Low-E　なし、空気層8mm）,2.41 ,2.24 ,0.52 ,0.38 ,2.83 ,2.59 ,0.58 ,0.42 ,3.21 ,2.91 ,0.58 ,0.42 ,2.10 ,2.00 ,0.72 ,0.53 
3FA09,三層ガラス（Low-E　なし、空気層9mm）,2.41 ,2.24 ,0.52 ,0.38 ,2.83 ,2.59 ,0.58 ,0.42 ,3.21 ,2.91 ,0.58 ,0.42 ,2.10 ,1.90 ,0.72 ,0.53 
3FA10,三層ガラス（Low-E　なし、空気層10mm）,2.35 ,2.18 ,0.52 ,0.38 ,2.75 ,2.52 ,0.58 ,0.42 ,3.13 ,2.84 ,0.58 ,0.42 ,2.00 ,1.90 ,0.72 ,0.53 
3FA11,三層ガラス（Low-E　なし、空気層11mm）,2.35 ,2.18 ,0.52 ,0.38 ,2.75 ,2.52 ,0.58 ,0.42 ,3.13 ,2.84 ,0.58 ,0.42 ,2.00 ,1.80 ,0.72 ,0.53 
3FA12,三層ガラス（Low-E　なし、空気層12mm）,2.28 ,2.12 ,0.52 ,0.38 ,2.67 ,2.45 ,0.58 ,0.42 ,3.05 ,2.77 ,0.58 ,0.42 ,1.90 ,1.80 ,0.72 ,0.53 
3FA13,三層ガラス（Low-E　なし、空気層13mm）,2.28 ,2.12 ,0.52 ,0.38 ,2.67 ,2.45 ,0.58 ,0.42 ,3.05 ,2.77 ,0.58 ,0.42 ,1.90 ,1.80 ,0.72 ,0.53 
3FA14,三層ガラス（Low-E　なし、空気層14mm）,2.22 ,2.06 ,0.52 ,0.38 ,2.59 ,2.38 ,0.58 ,0.42 ,2.97 ,2.70 ,0.58 ,0.42 ,1.80 ,1.70 ,0.72 ,0.53 
3FA15,三層ガラス（Low-E　なし、空気層15mm）,2.22 ,2.06 ,0.52 ,0.38 ,2.59 ,2.38 ,0.58 ,0.42 ,2.97 ,2.70 ,0.58 ,0.42 ,1.80 ,1.70 ,0.72 ,0.53 
3FA16,三層ガラス（Low-E　なし、空気層16mm）,2.22 ,2.06 ,0.52 ,0.38 ,2.59 ,2.38 ,0.58 ,0.42 ,2.97 ,2.70 ,0.58 ,0.42 ,1.80 ,1.70 ,0.72 ,0.53 
2LgG06,二層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層6mm）,2.48 ,2.30 ,0.46 ,0.34 ,2.91 ,2.66 ,0.51 ,0.38 ,3.29 ,2.98 ,0.51 ,0.38 ,2.20 ,2.10 ,0.64 ,0.47 
2LgG07,二層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層7mm）,2.41 ,2.24 ,0.46 ,0.34 ,2.83 ,2.59 ,0.51 ,0.38 ,3.21 ,2.91 ,0.51 ,0.38 ,2.10 ,1.90 ,0.64 ,0.47 
2LgG08,二層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層8mm）,2.28 ,2.12 ,0.46 ,0.34 ,2.67 ,2.45 ,0.51 ,0.38 ,3.05 ,2.77 ,0.51 ,0.38 ,1.90 ,1.80 ,0.64 ,0.47 
2LgG09,二層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層9mm）,2.22 ,2.06 ,0.46 ,0.34 ,2.59 ,2.38 ,0.51 ,0.38 ,2.97 ,2.70 ,0.51 ,0.38 ,1.80 ,1.70 ,0.64 ,0.47 
2LgG10,二層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層10mm）,2.15 ,2.00 ,0.46 ,0.34 ,2.51 ,2.31 ,0.51 ,0.38 ,2.89 ,2.63 ,0.51 ,0.38 ,1.70 ,1.60 ,0.64 ,0.47 
2LgG11,二層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層11mm）,2.09 ,1.94 ,0.46 ,0.34 ,2.43 ,2.24 ,0.51 ,0.38 ,2.81 ,2.55 ,0.51 ,0.38 ,1.60 ,1.50 ,0.64 ,0.47 
2LgG12,二層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層12mm）,2.09 ,1.94 ,0.46 ,0.34 ,2.43 ,2.24 ,0.51 ,0.38 ,2.81 ,2.55 ,0.51 ,0.38 ,1.60 ,1.50 ,0.64 ,0.47 
2LgG13,二層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層13mm）,2.02 ,1.88 ,0.46 ,0.34 ,2.35 ,2.16 ,0.51 ,0.38 ,2.72 ,2.48 ,0.51 ,0.38 ,1.50 ,1.40 ,0.64 ,0.47 
2LgG14,二層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層14mm）,1.95 ,1.82 ,0.46 ,0.34 ,2.27 ,2.09 ,0.51 ,0.38 ,2.64 ,2.41 ,0.51 ,0.38 ,1.40 ,1.40 ,0.64 ,0.47 
2LgG15,二層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層15mm）,1.95 ,1.82 ,0.46 ,0.34 ,2.27 ,2.09 ,0.51 ,0.38 ,2.64 ,2.41 ,0.51 ,0.38 ,1.40 ,1.30 ,0.64 ,0.47 
2LgG16,二層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層16mm）,1.95 ,1.82 ,0.46 ,0.34 ,2.27 ,2.09 ,0.51 ,0.38 ,2.64 ,2.41 ,0.51 ,0.38 ,1.40 ,1.30 ,0.64 ,0.47 
2LsG06,二層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層6mm）,2.48 ,2.30 ,0.29 ,0.22 ,2.91 ,2.66 ,0.32 ,0.25 ,3.29 ,2.98 ,0.32 ,0.25 ,2.20 ,2.10 ,0.40 ,0.31 
2LsG07,二層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層7mm）,2.41 ,2.24 ,0.29 ,0.22 ,2.83 ,2.59 ,0.32 ,0.25 ,3.21 ,2.91 ,0.32 ,0.25 ,2.10 ,1.90 ,0.40 ,0.31 
2LsG08,二層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層8mm）,2.28 ,2.12 ,0.29 ,0.22 ,2.67 ,2.45 ,0.32 ,0.25 ,3.05 ,2.77 ,0.32 ,0.25 ,1.90 ,1.80 ,0.40 ,0.31 
2LsG09,二層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層9mm）,2.22 ,2.06 ,0.29 ,0.22 ,2.59 ,2.38 ,0.32 ,0.25 ,2.97 ,2.70 ,0.32 ,0.25 ,1.80 ,1.70 ,0.40 ,0.31 
2LsG10,二層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層10mm）,2.15 ,2.00 ,0.29 ,0.22 ,2.51 ,2.31 ,0.32 ,0.25 ,2.89 ,2.63 ,0.32 ,0.25 ,1.70 ,1.60 ,0.40 ,0.31 
2LsG11,二層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層11mm）,2.09 ,1.94 ,0.29 ,0.22 ,2.43 ,2.24 ,0.32 ,0.25 ,2.81 ,2.55 ,0.32 ,0.25 ,1.60 ,1.50 ,0.40 ,0.31 
2LsG12,二層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層12mm）,2.09 ,1.94 ,0.29 ,0.22 ,2.43 ,2.24 ,0.32 ,0.25 ,2.81 ,2.55 ,0.32 ,0.25 ,1.60 ,1.50 ,0.40 ,0.31 
2LsG13,二層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層13mm）,2.02 ,1.88 ,0.29 ,0.22 ,2.35 ,2.16 ,0.32 ,0.25 ,2.72 ,2.48 ,0.32 ,0.25 ,1.50 ,1.40 ,0.40 ,0.31 
2LsG14,二層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層14mm）,1.95 ,1.82 ,0.29 ,0.22 ,2.27 ,2.09 ,0.32 ,0.25 ,2.64 ,2.41 ,0.32 ,0.25 ,1.40 ,1.40 ,0.40 ,0.31 
2LsG15,二層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層15mm）,1.95 ,1.82 ,0.29 ,0.22 ,2.27 ,2.09 ,0.32 ,0.25 ,2.64 ,2.41 ,0.32 ,0.25 ,1.40 ,1.30 ,0.40 ,0.31 
2LsG16,二層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層16mm）,1.95 ,1.82 ,0.29 ,0.22 ,2.27 ,2.09 ,0.32 ,0.25 ,2.64 ,2.41 ,0.32 ,0.25 ,1.40 ,1.30 ,0.40 ,0.31 
2LgA06,二層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層6mm）,2.74 ,2.53 ,0.46 ,0.34 ,3.23 ,2.94 ,0.51 ,0.38 ,3.62 ,3.26 ,0.51 ,0.38 ,2.60 ,2.40 ,0.64 ,0.47 
2LgA07,二層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層7mm）,2.61 ,2.42 ,0.46 ,0.34 ,3.07 ,2.80 ,0.51 ,0.38 ,3.45 ,3.12 ,0.51 ,0.38 ,2.40 ,2.30 ,0.64 ,0.47 
2LgA08,二層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層8mm）,2.55 ,2.36 ,0.46 ,0.34 ,2.99 ,2.73 ,0.51 ,0.38 ,3.37 ,3.05 ,0.51 ,0.38 ,2.30 ,2.10 ,0.64 ,0.47 
2LgA09,二層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層9mm）,2.41 ,2.24 ,0.46 ,0.34 ,2.83 ,2.59 ,0.51 ,0.38 ,3.21 ,2.91 ,0.51 ,0.38 ,2.10 ,2.00 ,0.64 ,0.47 
2LgA10,二層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層10mm）,2.35 ,2.18 ,0.46 ,0.34 ,2.75 ,2.52 ,0.51 ,0.38 ,3.13 ,2.84 ,0.51 ,0.38 ,2.00 ,1.90 ,0.64 ,0.47 
2LgA11,二層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層11mm）,2.28 ,2.12 ,0.46 ,0.34 ,2.67 ,2.45 ,0.51 ,0.38 ,3.05 ,2.77 ,0.51 ,0.38 ,1.90 ,1.80 ,0.64 ,0.47 
2LgA12,二層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層12mm）,2.22 ,2.06 ,0.46 ,0.34 ,2.59 ,2.38 ,0.51 ,0.38 ,2.97 ,2.70 ,0.51 ,0.38 ,1.80 ,1.70 ,0.64 ,0.47 
2LgA13,二層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層13mm）,2.22 ,2.06 ,0.46 ,0.34 ,2.59 ,2.38 ,0.51 ,0.38 ,2.97 ,2.70 ,0.51 ,0.38 ,1.80 ,1.70 ,0.64 ,0.47 
2LgA14,二層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層14mm）,2.15 ,2.00 ,0.46 ,0.34 ,2.51 ,2.31 ,0.51 ,0.38 ,2.89 ,2.63 ,0.51 ,0.38 ,1.70 ,1.60 ,0.64 ,0.47 
2LgA15,二層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層15mm）,2.09 ,1.94 ,0.46 ,0.34 ,2.43 ,2.24 ,0.51 ,0.38 ,2.81 ,2.55 ,0.51 ,0.38 ,1.60 ,1.60 ,0.64 ,0.47 
2LgA16,二層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層16mm）,2.09 ,1.94 ,0.46 ,0.34 ,2.43 ,2.24 ,0.51 ,0.38 ,2.81 ,2.55 ,0.51 ,0.38 ,1.60 ,1.50 ,0.64 ,0.47 
2LsA06,二層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層6mm）,2.74 ,2.53 ,0.29 ,0.22 ,3.23 ,2.94 ,0.32 ,0.25 ,3.62 ,3.26 ,0.32 ,0.25 ,2.60 ,2.40 ,0.40 ,0.31 
2LsA07,二層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層7mm）,2.61 ,2.42 ,0.29 ,0.22 ,3.07 ,2.80 ,0.32 ,0.25 ,3.45 ,3.12 ,0.32 ,0.25 ,2.40 ,2.30 ,0.40 ,0.31 
2LsA08,二層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層8mm）,2.55 ,2.36 ,0.29 ,0.22 ,2.99 ,2.73 ,0.32 ,0.25 ,3.37 ,3.05 ,0.32 ,0.25 ,2.30 ,2.10 ,0.40 ,0.31 
2LsA09,二層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層9mm）,2.41 ,2.24 ,0.29 ,0.22 ,2.83 ,2.59 ,0.32 ,0.25 ,3.21 ,2.91 ,0.32 ,0.25 ,2.10 ,2.00 ,0.40 ,0.31 
2LsA10,二層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層10mm）,2.35 ,2.18 ,0.29 ,0.22 ,2.75 ,2.52 ,0.32 ,0.25 ,3.13 ,2.84 ,0.32 ,0.25 ,2.00 ,1.90 ,0.40 ,0.31 
2LsA11,二層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層11mm）,2.28 ,2.12 ,0.29 ,0.22 ,2.67 ,2.45 ,0.32 ,0.25 ,3.05 ,2.77 ,0.32 ,0.25 ,1.90 ,1.80 ,0.40 ,0.31 
2LsA12,二層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層12mm）,2.22 ,2.06 ,0.29 ,0.22 ,2.59 ,2.38 ,0.32 ,0.25 ,2.97 ,2.70 ,0.32 ,0.25 ,1.80 ,1.70 ,0.40 ,0.31 
2LsA13,二層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層13mm）,2.22 ,2.06 ,0.29 ,0.22 ,2.59 ,2.38 ,0.32 ,0.25 ,2.97 ,2.70 ,0.32 ,0.25 ,1.80 ,1.70 ,0.40 ,0.31 
2LsA14,二層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層14mm）,2.15 ,2.00 ,0.29 ,0.22 ,2.51 ,2.31 ,0.32 ,0.25 ,2.89 ,2.63 ,0.32 ,0.25 ,1.70 ,1.60 ,0.40 ,0.31 
2LsA15,二層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層15mm）,2.09 ,1.94 ,0.29 ,0.22 ,2.43 ,2.24 ,0.32 ,0.25 ,2.81 ,2.55 ,0.32 ,0.25 ,1.60 ,1.60 ,0.40 ,0.31 
2LsA16,二層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層16mm）,2.09 ,1.94 ,0.29 ,0.22 ,2.43 ,2.24 ,0.32 ,0.25 ,2.81 ,2.55 ,0.32 ,0.25 ,1.60 ,1.50 ,0.40 ,0.31 
2FA06,二層ガラス（Low-E　なし、空気層6mm）,3.20 ,2.94 ,0.57 ,0.41 ,3.79 ,3.42 ,0.63 ,0.46 ,4.18 ,3.74 ,0.63 ,0.46 ,3.30 ,3.00 ,0.79 ,0.57 
2FA07,二層ガラス（Low-E　なし、空気層7mm）,3.14 ,2.88 ,0.57 ,0.41 ,3.71 ,3.35 ,0.63 ,0.46 ,4.10 ,3.67 ,0.63 ,0.46 ,3.20 ,2.90 ,0.79 ,0.57 
2FA08,二層ガラス（Low-E　なし、空気層8mm）,3.07 ,2.82 ,0.57 ,0.41 ,3.63 ,3.28 ,0.63 ,0.46 ,4.02 ,3.61 ,0.63 ,0.46 ,3.10 ,2.90 ,0.79 ,0.57 
2FA09,二層ガラス（Low-E　なし、空気層9mm）,3.07 ,2.82 ,0.57 ,0.41 ,3.63 ,3.28 ,0.63 ,0.46 ,4.02 ,3.61 ,0.63 ,0.46 ,3.10 ,2.80 ,0.79 ,0.57 
2FA10,二層ガラス（Low-E　なし、空気層10mm）,3.01 ,2.77 ,0.57 ,0.41 ,3.55 ,3.22 ,0.63 ,0.46 ,3.94 ,3.54 ,0.63 ,0.46 ,3.00 ,2.80 ,0.79 ,0.57 
2FA11,二層ガラス（Low-E　なし、空気層11mm）,2.94 ,2.71 ,0.57 ,0.41 ,3.47 ,3.15 ,0.63 ,0.46 ,3.86 ,3.47 ,0.63 ,0.46 ,2.90 ,2.70 ,0.79 ,0.57 
2FA12,二層ガラス（Low-E　なし、空気層12mm）,2.94 ,2.71 ,0.57 ,0.41 ,3.47 ,3.15 ,0.63 ,0.46 ,3.86 ,3.47 ,0.63 ,0.46 ,2.90 ,2.70 ,0.79 ,0.57 
2FA13,二層ガラス（Low-E　なし、空気層13mm）,2.88 ,2.65 ,0.57 ,0.41 ,3.39 ,3.08 ,0.63 ,0.46 ,3.78 ,3.40 ,0.63 ,0.46 ,2.80 ,2.60 ,0.79 ,0.57 
2FA14,二層ガラス（Low-E　なし、空気層14mm）,2.88 ,2.65 ,0.57 ,0.41 ,3.39 ,3.08 ,0.63 ,0.46 ,3.78 ,3.40 ,0.63 ,0.46 ,2.80 ,2.60 ,0.79 ,0.57 
2FA15,二層ガラス（Low-E　なし、空気層15mm）,2.88 ,2.65 ,0.57 ,0.41 ,3.39 ,3.08 ,0.63 ,0.46 ,3.78 ,3.40 ,0.63 ,0.46 ,2.80 ,2.60 ,0.79 ,0.57 
2FA16,二層ガラス（Low-E　なし、空気層16mm）,2.88 ,2.65 ,0.57 ,0.41 ,3.39 ,3.08 ,0.63 ,0.46 ,3.78 ,3.40 ,0.63 ,0.46 ,2.80 ,2.50 ,0.79 ,0.57 
T,単板ガラス,4.76 ,4.25 ,0.63 ,0.45 ,5.67 ,4.96 ,0.70 ,0.50 ,6.25 ,5.39 ,0.70 ,0.50 ,6.00 ,5.20 ,0.88 ,0.62 
S,鋼製建具等,2.63 ,2.63 ,0.08 ,0.08 ,2.63 ,2.63 ,0.08 ,0.08 ,2.63 ,2.63 ,0.08 ,0.08 ,2.63 ,2.63 ,0.08 ,0.08 